,CÓD.  DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO  DE CULTIVO,SUBGRUPO  DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,AÑO,PERIODO,Área Sembrada (ha),Área Cosechada (ha),Producción (t),Rendimiento (t/ha),ESTADO FISICO PRODUCCION,NOMBRE  CIENTIFICO,CICLO DE CULTIVO
0,5.0,ANTIOQUIA,5045.0,APARTADO,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,1830.0,1640.0,656.0,0.4,GRANO SECO,THEOBROMA CACAO,PERMANENTE
1,5.0,ANTIOQUIA,5837.0,TURBO,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,1002.0,760.0,304.0,0.4,GRANO SECO,THEOBROMA CACAO,PERMANENTE
2,5.0,ANTIOQUIA,5425.0,MACEO,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,950.0,798.0,279.0,0.35,GRANO SECO,THEOBROMA CACAO,PERMANENTE
3,5.0,ANTIOQUIA,5885.0,YALI,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,580.0,269.0,188.0,0.7,GRANO SECO,THEOBROMA CACAO,PERMANENTE
4,5.0,ANTIOQUIA,5490.0,NECOCLI,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,523.0,151.0,60.0,0.4,GRANO SECO,THEOBROMA CACAO,PERMANENTE
5,5.0,ANTIOQUIA,5858.0,VEGACHI,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,520.0,460.0,230.0,0.5,GRANO SECO,THEOBROMA CACAO,PERMANENTE
6,5.0,ANTIOQUIA,5604.0,REMEDIOS,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,405.0,160.0,40.0,0.25,GRANO SECO,THEOBROMA CACAO,PERMANENTE
7,5.0,ANTIOQUIA,5234.0,DABEIBA,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,315.0,273.0,137.0,0.5,GRANO SECO,THEOBROMA CACAO,PERMANENTE
8,5.0,ANTIOQUIA,5483.0,NARIÑO,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,311.0,276.0,110.0,0.4,GRANO SECO,THEOBROMA CACAO,PERMANENTE
9,5.0,ANTIOQUIA,5659.0,SAN JUAN DE URABA,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,307.0,0.0,0.0,0.4,GRANO SECO,THEOBROMA CACAO,PERMANENTE
10,5.0,ANTIOQUIA,5120.0,CACERES,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,306.0,65.0,25.0,0.38,GRANO SECO,THEOBROMA CACAO,PERMANENTE
11,5.0,ANTIOQUIA,5040.0,ANORI,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,290.0,15.0,5.0,0.3,GRANO SECO,THEOBROMA CACAO,PERMANENTE
12,5.0,ANTIOQUIA,5051.0,ARBOLETES,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,257.0,0.0,0.0,0.3,GRANO SECO,THEOBROMA CACAO,PERMANENTE
13,5.0,ANTIOQUIA,5585.0,PUERTO NARE,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,235.0,35.0,18.0,0.5,GRANO SECO,THEOBROMA CACAO,PERMANENTE
14,5.0,ANTIOQUIA,5893.0,YONDO,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,233.0,233.0,70.0,0.3,GRANO SECO,THEOBROMA CACAO,PERMANENTE
15,5.0,ANTIOQUIA,5789.0,TAMESIS,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,214.0,130.0,59.0,0.45,GRANO SECO,THEOBROMA CACAO,PERMANENTE
16,5.0,ANTIOQUIA,5142.0,CARACOLI,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,185.0,185.0,65.0,0.35,GRANO SECO,THEOBROMA CACAO,PERMANENTE
17,5.0,ANTIOQUIA,5579.0,PUERTO BERRIO,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,178.0,56.0,17.0,0.3,GRANO SECO,THEOBROMA CACAO,PERMANENTE
18,5.0,ANTIOQUIA,5172.0,CHIGORODO,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,177.0,97.0,50.0,0.52,GRANO SECO,THEOBROMA CACAO,PERMANENTE
19,5.0,ANTIOQUIA,5055.0,ARGELIA,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,170.0,170.0,46.0,0.27,GRANO SECO,THEOBROMA CACAO,PERMANENTE
20,5.0,ANTIOQUIA,5031.0,AMALFI,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,169.0,95.0,48.0,0.5,GRANO SECO,THEOBROMA CACAO,PERMANENTE
21,5.0,ANTIOQUIA,5854.0,VALDIVIA,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,160.0,70.0,46.0,0.65,GRANO SECO,THEOBROMA CACAO,PERMANENTE
22,5.0,ANTIOQUIA,5147.0,CAREPA,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,143.0,48.0,19.0,0.4,GRANO SECO,THEOBROMA CACAO,PERMANENTE
23,5.0,ANTIOQUIA,5665.0,SAN PEDRO DE URABA,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,143.0,118.0,35.0,0.3,GRANO SECO,THEOBROMA CACAO,PERMANENTE
24,5.0,ANTIOQUIA,5240.0,EBEJICO,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,124.0,80.0,24.0,0.3,GRANO SECO,THEOBROMA CACAO,PERMANENTE
25,5.0,ANTIOQUIA,5790.0,TARAZA,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,123.0,35.0,18.0,0.5,GRANO SECO,THEOBROMA CACAO,PERMANENTE
26,5.0,ANTIOQUIA,5842.0,URAMITA,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,123.0,70.0,28.0,0.4,GRANO SECO,THEOBROMA CACAO,PERMANENTE
27,5.0,ANTIOQUIA,5647.0,SAN ANDRES,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,117.0,112.0,33.0,0.29,GRANO SECO,THEOBROMA CACAO,PERMANENTE
28,5.0,ANTIOQUIA,5250.0,EL BAGRE,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,111.0,25.0,13.0,0.5,GRANO SECO,THEOBROMA CACAO,PERMANENTE
29,5.0,ANTIOQUIA,5284.0,FRONTINO,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,86.0,86.0,43.0,0.5,GRANO SECO,THEOBROMA CACAO,PERMANENTE
30,5.0,ANTIOQUIA,5591.0,PUERTO TRIUNFO,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,81.0,0.0,0.0,0.5,GRANO SECO,THEOBROMA CACAO,PERMANENTE
31,5.0,ANTIOQUIA,5361.0,ITUANGO,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,76.0,66.0,33.0,0.5,GRANO SECO,THEOBROMA CACAO,PERMANENTE
32,5.0,ANTIOQUIA,5138.0,CAÑASGORDAS,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,67.0,53.0,21.0,0.4,GRANO SECO,THEOBROMA CACAO,PERMANENTE
33,5.0,ANTIOQUIA,5282.0,FREDONIA,OTROS PERMANENTES,CACAO,CACAO,CACAO,2007.0,2007.0,67.0,67.0,33.0,0.49,GRANO SECO,THEOBROMA CACAO,PERMANENTE
