Year;beans_hectare;beans_improved_hectare;beans_improved_cost;beans_hectare_fertilizer;beans_fertilizer_cost;beans_chemical_hectare;beans_chemical_cost;beans_machinery_hectare;beans_machinery_cost;beans_harvested;beans_sold;beans_sold_price;beans_harvest_loss;filter;filter_quartile
2014;6.07029;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;300;150;150000;30;150495;3
2014;0.809372;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;340;280;75000;15;75637;3
2014;0.404686;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;530;400;280000;20;280951;3
2014;0.404686;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;540;380;460000;45;460966;3
2014;0.404686;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;570;450;400000;40;401061;3
2014;0.809372;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;1500;1000;170000;70;172572;3
2014;30.35145;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;160;100;40000;7;40342;3
2014;1.214058;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;700;550;210000;50;211303;3
2014;6.07029;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;250;150;720000;8;720423;3
2014;6.07029;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;53;30;126000;10;126108;3
2014;1.618744;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;2050;1940;710000;70;714064;3
2014;0.809372;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;180;150;210000;20;210352;3
2014;0.404686;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;300;200;50000;36;50537;3
2014;50.58575;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;120;120;60000;10;60375;3
2014;6.07029;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;465;400;85000;60;85940;3
2014;1.618744;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;2000;1800;700000;100;703904;3
2014;1.214058;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;1500;1200;400000;130;402833;3
2014;2.02343;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;460;441;500000;19;500925;3
2014;10.11715;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;70;65;25000;5;25165;3
