Year;Maize_hectare;maize_improved_hectare;maize_improved_cost;maize_hectare_fertilizer;maize_fertilizer_cost;maize_chemical_hectare;maize_chemical_cost;maize_machinery_hectare;maize_machinery_cost;Maize_harvested;Maize_sold;Maize_sold_price;Maize_harvest_loss;filter;filter_quartile
2014;6.07029;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;4800;4000;250000;90;258905;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1400;1300;200000;100;202801;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;2200;2150;380000;28;384379;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;700;700;200000;30;201431;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;900;890;200000;30;201821;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;2600;2550;380000;15;385166;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;10060;1000;200000;60;211121;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;2600;2450;30500;20;35571;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1200;115;200000;50;201366;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1380;1200;267000;40;269621;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1500;1200;200000;70;202771;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;6000;850;200000;50;206901;3
2014;0.809372;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1100;220;40000;30;41352;3
2014;1.214058;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;4100;3500;780000;70;787673;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;347;300;228000;47;228695;3
2014;0.809372;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;768;758;480000;10;481538;3
2014;1.214058;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;2000;1800;350000;200;354003;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;614;300;228000;31;228946;3
2014;0.809372;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;3000;2000;370000;20;375022;3
2014;6.07029;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;2000;1000;16000;50;19065;3
2014;0.809372;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1100;770;400000;30;401902;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;2200;2000;500000;50;504251;3
2014;0.809372;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1200;1000;70400;200;72802;3
2014;6.07029;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1400;1000;146000;20;148435;3
2014;6.07029;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;2000;1000;16000;50;19065;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;928;150;50000;20;51099;3
2014;6.07029;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1000;500;10000;10;11525;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1345;1200;75000;30;77576;3
2014;0.809372;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;3000;2500;80000;20;85522;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1800;1600;200000;15;203416;3
2014;0.809372;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1542;1200;226300;30;229074;3
2014;0.809372;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;3550;3400;200000;30;206982;3
2014;1.214058;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;3859;3450;305100;90;312502;3
2014;0.404686;4.2087344;461095.3452;3.1605976599999996;732668.72;2.13674208;8.8417;2.7113962;444887.44999999995;1400;1000;170000;90;172491;3
